Relations,Labels,Templates,We don't know Y,Plural Templates,Checked by German Speaker?,
http://www.wikidata.org/entity/P1001,gehört zum Zuständigkeitsbereich,X gehört zum Zuständigkeitsbereich von Y,Ich weiß nicht wer für X zuständig ist.,X gehört zum Zuständigkeitsbereich von Y,TRUE,Instructions:
http://www.wikidata.org/entity/P101,Arbeitsgebiet,Die Disziplin von X ist Y.,Ich kenne die Disziplin von X nicht.,Die Disziplinen von X sind Y.,TRUE,You can enter the Wikidata links in your browser to get more information.
http://www.wikidata.org/entity/P102,Parteizugehörigkeit,X ist Mitglied der Y.,Ich weiß nicht zu welcher Partei X gehört.,X ist Mitglied der Y.,TRUE,Use article(X) or article(Y) if you want to get the article of an entity.
http://www.wikidata.org/entity/P1027,verliehen von,X wird von Y verliehen.,"Ich weiß nicht, von wem X verliehen wurde.",X wird von Y verliehen.,TRUE,
http://www.wikidata.org/entity/P1028,gestiftet von,X wurde von Y gespendet.,"Ich weiß nicht, wer X gespendet hat.",X wurde von Y gespendet.,TRUE,
http://www.wikidata.org/entity/P1029,Mannschaftsmitglied,Y ist ein Mannschaftsmitglied von X.,Ich kenne keine Mannschaftsmitglieder von X.,Y sind Mannschaftsmitglieder von X.,TRUE,
http://www.wikidata.org/entity/P103,Muttersprache,Y ist eine Muttersprache von X.,Ich kenne die Muttersprachen von X nicht.,Y sind die Muttersprachen von X,TRUE,
http://www.wikidata.org/entity/P1037,Leiter,Y verwaltet X.,"Ich weiß nicht, wer X verwaltet.",Y leiten X,TRUE,
http://www.wikidata.org/entity/P1038,Verwandte,X ist verwandt mit Y,Ich kenne keine Verwandten von X.,X ist verwandt Y,TRUE,
http://www.wikidata.org/entity/P1040,Filmeditor,Y ist der Filmeditor von X.,Ich kenne keinen Filmeditor von X.,Y sind Filmeditoren von Y.,TRUE,
http://www.wikidata.org/entity/P1050,Erkrankung,X hat die Erkrankung Y.,Ich kenne die Erkrankung von X nicht.,X hat die Erkrankungen Y.,TRUE,
http://www.wikidata.org/entity/P1056,Produkt,X produziert Y,"Ich weiß nicht, was X produziert.",X produziert Y,TRUE,
http://www.wikidata.org/entity/P1057,Chromosom,X liegt auf Chromosom Y.,"Ich weiß nicht, wo X sich befindet.",X liegt auf den Chromosomen Y.,TRUE,
http://www.wikidata.org/entity/P106,Tätigkeit,Y ist die Tätigkeit von X.,Ich kenne die Tätigkeit von X nicht.,Y sind Tätigkeiten von X.,TRUE,
http://www.wikidata.org/entity/P1064,Spurweite,Y ist eine Spurweite von X.,Ich kenne die Spurweite von X nicht.,Y sind die Spurweiten von X.,TRUE,
http://www.wikidata.org/entity/P1066,Schüler von,X ist ein Schüler von Y,"Ich weiß nicht, wessen Schüler X ist.",X ist ein Schüler von Y.,TRUE,
http://www.wikidata.org/entity/P1071,Herstellungsort,X wird schließlich in Y montiert.,"Ich weiß nicht, wo X schließlich montiert wird.",X wird schließlich in Y montiert.,TRUE,
http://www.wikidata.org/entity/P108,Arbeitgeber,Y ist der Arbeitgeber von X.,"Ich weiß nicht, wer Arbeitsgeber von X ist.",Y sind die Arbeitgeber von X.,TRUE,
http://www.wikidata.org/entity/P1080,aus fiktivem Universum,X stammt aus dem fiktiven Universum von Y,"Ich weiß nicht, von welchem fiktiven Universum X stammt.",X stammt aus dem fiktiven Universum von Y.,TRUE,
